,vari,deli,field,beta0,beta1,R2
1578,fu,1705,settle,28.897979591335222,0.992277950578251,0.9840253791995818
1579,fu,1705,volume,0.7906824838281465,-0.002918308434648853,8.516524120372182e-06
1580,fu,1705,oi,0.15935787000783286,0.9481010180109628,0.8988955403534247
1581,fu,1706,settle,28.89091124269862,0.9919061992951189,0.9861701100681118
1582,fu,1706,volume,0.15262576563912045,0.03604779596345013,0.0012994435938226134
1583,fu,1706,oi,0.019900497512437804,0.9387676999617294,0.8812847944914364
1584,fu,1707,settle,43.01503915420357,0.9871675219154518,0.9776503180741359
1585,fu,1707,volume,0.0,0.0,
1586,fu,1707,oi,0.0,0.0,
1587,fu,1708,settle,38.020891597361654,0.9893913225430793,0.9856895121128896
1588,fu,1708,volume,0.02228412256267412,0.3259052924791088,0.10621425966589315
1589,fu,1708,oi,0.008928571428571494,0.9399801587301593,0.8835626988063744
1590,fu,1709,settle,59.82104601118044,0.9835029577539705,0.9756289051843994
1591,fu,1709,volume,0.05,-0.008333333333333333,6.944444444423326e-05
1592,fu,1709,oi,0.04651162790697639,0.9534883720930237,0.9091400757166036
1593,fu,1710,settle,86.85938248249884,0.9772239017675775,0.9714851771798014
1594,fu,1710,volume,0.47281057423481715,0.40776819825226523,0.1662749035058988
1595,fu,1710,oi,0.04787956233527696,0.9466296621675581,0.8961077172954659
1596,fu,1711,settle,120.45658774920564,0.9693362414150899,0.9732811234165226
1597,fu,1711,volume,0.33732951511915726,0.45127732207283744,0.20365122141723146
1598,fu,1711,oi,0.18386589837611306,0.9307665444386239,0.8663263602462172
1599,fu,1712,settle,283.51293606714637,0.9273052439212737,0.947536448827562
1600,fu,1712,volume,0.023030861354214636,0.43804698295716243,0.1918851592778732
1601,fu,1712,oi,0.01782531194295899,0.5650623885918005,0.3192955030010708
1602,hc,1407,settle,229.0091369489832,0.935167934651921,0.8881714735143276
1603,hc,1407,volume,7.920607191415948,0.1151102598948598,0.6170040480779022
1604,hc,1407,oi,8.073658117971405,0.9434512329676448,0.8558101935162616
1605,hc,1408,settle,285.6253184652396,0.916499086615961,0.8533294886883398
1606,hc,1408,volume,3.675252176124075,-0.0020755316397739637,0.0005137397066131699
1607,hc,1408,oi,2.3242614045785412,0.9636383792472687,0.9133104303120422
1608,hc,1409,settle,244.9483402627393,0.9265074620027784,0.8329160196440567
1609,hc,1409,volume,58.84047701058866,0.1706540051912427,0.6133344390949318
1610,hc,1409,oi,39.685440559388375,0.8872615212693808,0.9370478337984836
1611,hc,1410,settle,-20.439492202283418,1.0053320113032782,0.9669765431637283
1612,hc,1410,volume,4094.4694751026,0.5340656124491764,0.5639485311345183
1613,hc,1410,oi,-479.0529049523496,1.0028403341009033,0.9905826953931515
1614,hc,1411,settle,0.3830059062001112,0.9990690397250417,0.9742988328026623
1615,hc,1411,volume,0.5018538415198394,-0.004810051112615486,0.00025142637421338154
1616,hc,1411,oi,0.1407733271590632,0.9559562398703401,0.9117518622923952
1617,hc,1412,settle,25.848369282250133,0.9910915107038076,0.9697331333693063
1618,hc,1412,volume,1.1013321340115416,0.03232467836850005,0.001044884831626569
1619,hc,1412,oi,0.3371390770080141,0.9752345077360189,0.9510823450791148
1620,hc,1501,settle,-2.498763480802296,0.9998812334446379,0.9888342296873033
1621,hc,1501,volume,491.7933864023424,0.8602146712426582,0.7390997675550605
1622,hc,1501,oi,109.38306432907137,0.99441460350786,0.9915572849905195
1623,hc,1502,settle,-3.76298409573792,1.0003738482392426,0.9934192923843602
1624,hc,1502,volume,0.03669724770642203,-0.009174311926605502,8.416799932664532e-05
1625,hc,1502,oi,0.012738853503184397,0.9777575573753925,0.9560098410046926
1626,hc,1503,settle,-7.540082925940823,1.0012429845208466,0.9931513040651349
1627,hc,1503,volume,4.5691385743006565,0.057999898244149695,0.0033644103560603877
1628,hc,1503,oi,1.5264730107585138,0.9981266245354539,0.9961368617775576
1629,hc,1504,settle,0.40758545164241866,0.9982757588414654,0.9915208056763634
1630,hc,1504,volume,0.14059146820204127,0.49759225333682294,0.24759805058081696
1631,hc,1504,oi,0.017948363937595017,0.966450365870496,0.9340263096912149
1632,hc,1505,settle,3.8472965282901157,0.9973339067535189,0.9943949883438743
1633,hc,1505,volume,609.8155040633542,0.8328138744539768,0.6935789494830442
1634,hc,1505,oi,58.321969083581486,0.9968924837338153,0.9950560404604906
1635,hc,1506,settle,-4.805753158143773,1.0000037804730753,0.9946348741326045
1636,hc,1506,volume,0.33335970255517755,0.054188750889961196,0.0029364207230141437
1637,hc,1506,oi,0.06778026519717634,0.9663853969347336,0.9339007354087032
1638,hc,1507,settle,13.880754840624832,0.9932829994675312,0.9918992847274104
1639,hc,1507,volume,0.23191193758683337,-0.010473442342631176,0.00010969299450502845
1640,hc,1507,oi,0.06509200769019481,0.9497390826695963,0.9020043251500862
1641,hc,1508,settle,13.300424710093523,0.9929229117253222,0.9857397513304061
1642,hc,1508,volume,0.44427202544904365,0.032121658843154766,0.0010318009668351946
1643,hc,1508,oi,0.07587253414264034,0.9537177541729893,0.9095775546247706
1644,hc,1509,settle,5.375286990137582,0.9960397600097777,0.9879050544670765
1645,hc,1509,volume,6.636160867476494,0.09506897261684169,0.00903810955442197
1646,hc,1509,oi,0.9189050342510052,0.9864373817838046,0.9774163424902551
1647,hc,1510,settle,-4.611497486871208,1.000137047594533,0.9942816855859699
1648,hc,1510,volume,908.1807652579324,0.8224165497537053,0.6763689813087889
1649,hc,1510,oi,77.83122867073133,0.9960320434183265,0.9941714049695335
