vari,deli,beta0,beta1,R2
cs,1509,0.005135064836434651,0.9880569024748533,0.9538046286633926
cs,1511,-0.011493538765494717,1.0110804237488438,0.9818112242313038
cs,1601,-0.0008141566590964613,0.9970460627404545,0.9926511534231494
cs,1603,-0.0006433271901528292,0.9944897894238948,0.9895912112811771
cs,1605,0.0004943287293400272,0.9881226079597369,0.9936263853202988
cs,1607,0.005971539175263314,0.97597281476194,0.9769202877346069
cs,1609,0.012309998412372753,0.9625519254075257,0.9461569807012177
cs,1611,0.01139904426306139,0.9659907448171541,0.9353999553062665
cs,1701,0.010254204547349337,0.9792199571251098,0.9586882429700364
cs,1703,0.011324103664702365,0.9757199002735473,0.9507958683829144
cs,1705,0.009946677465121083,0.9777867185128458,0.9591902946364435
cs,1707,0.029927398280782676,0.9291222146205941,0.8646201187063758
cs,1709,0.02290566671557747,0.9629630089596641,0.9522467249098568
cs,1711,0.03233817709547939,0.9405331696401266,0.8673436093969666
cu,1401,0.006337638514455419,0.9764991994684401,0.9705840005902513
cu,1402,0.013741900573354705,0.9513044614577021,0.9478433924832441
cu,1403,0.008858973126455769,0.9785786781110002,0.9248693730668948
cu,1404,0.019985551363046476,0.9676676532257764,0.9345923192673562
cu,1405,0.014202570755352511,0.9772757625970682,0.9584054590461735
cu,1406,0.012234116643822629,0.9794117480024489,0.9598852761850482
